P20_HNSAL15P_AIDFAM,P20_ACTOCC15P_ILT5,P20_ACTOCC15P_VELO,C20_ACTOCC1564_CS1,C20_AGRILT_FSAL,C20_INDUSLT_FSAL,C20_CONSTLT_FSAL,UU,C14_ACT1564_CS1,P14_ACTOCC15P_ILT2,C09_ACT1564_CS1,C09_AGRILT_SAL,C09_INDUSLT_NSAL,C09_CONSTLT_FNSAL,P09_HSAL15P_EMPAID,P09_ACTOCC15P_ILT3,P09_ACTOCC15P_ILT4,COM,NTLBIN
74.1266257684385,296.675172812071,18479.8471502115,104.433239638036,120.875257205972,2227.96715085768,881.640617718993,33701.0,111.854307242568,35482.5268801812,206.087417952928,398.715805798516,812.03449549442,79.8768946128378,408.732382828402,806.403705744923,2211.26568469012,33063,1
23.6845417796454,42.8123439019499,1580.53322270778,51.0242687350774,28.9660912374887,976.764939829111,276.161306229375,86601.0,41.0411200044657,8239.14278482965,43.5639907912876,78.7897170040938,205.049525366796,16.729775085112,131.376429406593,892.847799885491,1011.44377998732,86194,1
7.6277593350935,72.4148206576639,747.188547827906,30.7027008430854,47.8163646705111,503.421009973839,260.070887245403,751.0,30.4240155714651,7145.8642272498,39.3541080224977,72.4968388310801,123.642236118918,16.9898565328862,46.045172803385,1342.76668333395,268.489764500086,64102,1
15.9986506647907,59.7223376768835,3758.60357816537,28.5794752796196,35.081503455308,992.395250830493,172.035253493747,17601.0,56.7358452659924,6609.64903739613,41.6062699873926,118.855884810907,287.410080401385,25.2041209989497,145.079047592603,443.665339654899,736.47389887617,17300,1
24.1074919144632,20.736102257996,906.796210345107,92.4511280670716,38.9171097427685,2118.74491909732,438.764793401248,87601.0,77.8190206937264,6618.6736586476,122.300187502855,174.377783464811,474.69344566649,23.3569297319531,238.819796951955,1018.98025999838,1275.74742396703,87085,1
3.36681469137489,17.992081396789,1393.62727447619,4.56413100140581,4.98724068070938,296.098957139354,77.6464748325026,33701.0,6.70834116880498,8147.84699024948,8.98515299358704,22.3051346528607,72.759269395844,17.7530355576746,57.2809846779458,51.6235517974303,132.738938259441,33039,1
11.6493047089699,4.51867402884559,346.94374645396,95.1174540967911,125.747018957574,709.234699612053,85.8332020982916,33401.0,111.963186880191,3603.16318254923,131.372960556979,255.040642933571,116.578122193648,28.2213719297493,44.7796370407053,151.341804728627,141.894026613855,33243,1
4.02936223865749,67.7419031906427,226.266902084382,6.65752404191534,1.00000188561938,163.568473211615,71.4162792395319,751.0,9.05881322931046,3262.12160219704,19.4294938040934,4.79759629968301,108.927512499431,4.79039784035592,34.9772722515069,418.779663487324,239.015979323491,64122,1
3.37544153028998,5.37182632719015,280.521736286369,24.908941320996,4.22199964049529,296.504715583954,81.1234647732121,40501.0,14.81530059378,2377.82693030131,20.9458004741841,42.1206495922688,83.2095118009504,5.29503916728961,25.2163582685601,291.099160968728,108.535274417081,40088,1
16.0790789715606,84.1351440902118,1710.6730986849,22.5836689304118,51.3200306740669,741.676463028937,208.255242903765,64701.0,61.0495545508714,8574.56546621182,21.2268022292013,151.681841442595,213.008339340576,28.2753802227347,108.116384979173,387.513274791866,1159.70122431647,64445,1
0.0,40.8724846499478,333.858114365162,20.3999083496765,6.29865651087602,508.503917807592,224.199639459008,751.0,16.2999512327896,7953.41878860882,42.595364091278,72.8857223835226,160.026154735058,7.47813020056904,34.7391088805098,907.538917208715,341.437999480975,64024,1
0.993754952191416,1940.48299815982,104.640650953539,17.5731052379573,0.0,198.42325879121,27.8553762045956,751.0,14.3598980483343,1375.47693298059,2.08562450641071,40.9131031912673,33.270361154501,1.13650683915521,19.765831301389,103.386663577608,64.7203742444436,64260,1
12.8394205297207,67.7452500016384,120.367584099599,13.3915252287271,7.99978603189955,437.568672715906,28.7120484494893,751.0,13.0961390426788,1882.48695840111,36.4533783052762,65.8481820658449,78.0562077788374,5.31177745819577,10.7501859114677,69.3211221347877,81.9928392963098,64483,1
1.0,1.0,32.0,35.0,10.0,157.220152236402,30.6508705502718,16107.0,45.460614784322,527.260423932244,39.9846088882116,35.4186461140996,51.694518370875,3.62665224541023,1.99923044441058,83.9676786652443,40.9842241104168,16028,1
1.01473751811514,8.01665809907569,97.0571133171194,10.2218266019838,9.98703111893418,120.984308579766,5.14813901140807,40207.0,10.0,418.0,24.0,52.53790508433,28.3114106630701,0.0,1.0,84.0,40.0,40184,1
5.45730610192249,7.88679420325464,493.100122147346,2.6728298204893,25.2338626952692,550.903325338673,82.9708416153033,17402.0,17.5310785472155,2650.25274155093,16.237921306261,94.4187102787978,137.48654027449,6.31356768071559,40.5517185026087,85.7464211074782,225.244418492858,17299,1
13.5949562725911,22.5487229626389,1325.86550855115,31.419285418582,15.1439966658373,1010.81603981048,217.098567801603,79501.0,48.8576146784838,4465.32437376041,57.5665029795462,82.482220037613,186.682433611159,17.3444014306397,62.4923410395712,625.612472199223,710.643996805455,79191,1
4.03740397166236,16.3046248049566,16.2491183674523,10.0186274009674,0.0,53.5587607994083,8.21033759575678,33701.0,8.00000000000004,1491.11134972262,58.4948200964818,23.8067231156725,25.645651487868,0.0,7.83333484598599,124.713921313037,26.1081268310888,64160,1
11.5427036740342,8.80946000677183,192.788602783703,1.03961369469597,1.09215831396328,116.980162377258,125.813584110679,33701.0,0.86502739182558,4979.69950638481,4.12197931208731,21.2223305921494,16.4294463074271,5.26814157847493,31.0356544337487,51.8290003568521,112.921481908784,33249,1
