COM,Nom Commune,P20_SCOL1517,P20_SCOL1824,ETTEF2021,P20_SCOL2529,P20_NSCOL15P_CAPBEP,P20_NSCOL15P_BAC,P20_NSCOL15P_SUP2,P20_NSCOL15P_SUP34,P20_NSCOL15P_SUP5,ETTEF5021,ETTEF1021,ETTEF121,ETTEF021,P20_POP1564,P20_ACT1564,P20_ACTOCC1564,P20_CHOMEUR1564,P20_CHOM_DIPLMIN,P20_CHOM_SUP34,P20_CHOM_SUP5,P20_ACT_DIPLMIN,P20_ACT_SUP34,P20_ACT_SUP5,P20_INACT1564,P20_ETUD1564,P20_RETR1564,P20_AINACT1564,C20_ACT1564_CS2,C20_ACT1564_CS3,C20_ACT1564_CS4,MED20,NBPERSMENFISC20,NTLBIN
16024,Aussac-Vadalle,14,4,0,1,138,70,40,44,19,1,1,10,0,329.991961091621,254.743774176441,221.351071977791,33.3927021986494,5.08292491855902,1.00647591369537,0.983379580865304,21.4030988691269,30.0621715467802,20.042582988038,75.2481869151806,17.9812434805639,35.0266758857032,22.2402675489135,15.2208209187714,14.8661753771299,64.8462383516658,22640,546,0
16025,Baignes-Sainte-Radegonde,43,9,3,0,305,141,89,50,42,0,2,46,5,688.677723061971,518.645001096858,459.419075108454,59.2259259884042,11.944305916529,2.91045148332334,1.01552905036785,64.0849854327113,34.6944830027839,23.6913199290909,170.032721965113,46.3999209999099,62.0726800858654,61.5601208793378,55.3168267629628,19.6223787844397,74.2735749765339,19910,1190,0
16026,Balzac,58,29,2,1,330,194,138,108,78,0,7,24,4,825.0,635.0,581.0,54.0,9.0,1.0,5.0,28.0,87.0,59.0,190.0,79.0,77.0,34.0,60.0,95.0,165.0,25000,1376,0
16027,Barbezieres,4,0,0,0,37,24,13,5,0,0,0,3,1,79.4444444444445,56.7460317460318,50.5555555555556,6.19047619047619,0.0,0.0,0.0,5.15873015873016,4.12698412698413,0.0,22.6984126984127,4.12698412698413,11.3492063492064,7.22222222222222,0.0,5.15873015873016,10.3174603174603,20550,116,0
16028,Barbezieux-Saint-Hilaire,148,122,16,8,1043,628,329,282,187,15,32,192,12,2625.0,1897.0,1635.0,262.0,55.0,22.0,9.0,218.0,206.0,135.0,728.0,212.0,224.0,292.0,80.0,140.0,390.0,19960,4413,1
16029,Bardenac,7,2,0,0,59,40,12,13,3,0,0,10,2,146.0,111.0,99.0,12.0,1.0,1.0,0.0,18.0,10.0,2.0,35.0,6.0,16.0,13.0,10.0,15.0,10.0,21270,222,0
16030,Barret,39,13,4,0,251,134,89,48,37,0,0,28,2,604.437880555515,461.951722913844,425.508547378133,36.4431755357114,9.15478109593436,1.01066265948854,0.0,53.6682720309424,43.5174849061046,27.2589334627183,142.486157641671,41.6390128807919,54.3839874958589,46.46315726502,35.4364094748607,50.4083453467274,111.069580705966,22450,997,0
16031,Barro,12,3,0,0,103,71,38,32,13,0,1,8,1,231.417295730838,180.499349367648,156.575823302259,23.923526065389,0.995617014238552,0.0,1.99887697704392,3.99584871391561,20.9519317030968,12.97168041926,50.9179463631905,12.9563945011013,24.9859878679123,12.9755639941769,24.938294328706,24.9095144275402,59.8421937465239,22850,414,0
16032,Bassac,24,3,0,0,120,74,41,17,18,0,3,17,1,328.602213803317,256.454015002732,226.391841637782,30.0621733649498,5.00433003058798,2.0067407540054,3.0087155084133,33.0709122435888,12.0432513206112,17.0420298556539,72.1481988005854,20.9858850358269,27.109244140946,24.0530696238125,20.0258487034439,45.1310036969647,55.1926203497065,23020,487,0
16034,Bazac,8,0,0,0,38,20,7,10,5,0,0,5,0,85.0,60.0,56.0,4.0,1.0,0.0,0.0,11.0,2.0,4.0,25.0,7.0,10.0,8.0,5.0,5.0,5.0,18030,138,0
16035,Beaulieu-sur-Sonnette,7,2,0,0,47,28,9,9,8,0,0,7,0,100.522531535448,75.1357293233118,68.9103430612102,6.22538626210156,0.880258773242615,0.625872738094384,0.0,8.8085085163152,4.80835217683073,4.76496171019704,25.3868022121363,6.45009094544244,11.8604713937802,7.07623987291364,28.2899088588555,0.0,17.7699038203574,16990,204,0
16036,Becheresse,12,8,0,0,81,40,27,11,13,0,0,6,0,188.945713948888,147.676800129067,138.601353113033,9.07544701603396,0.896348280478875,0.0,0.944146370951628,6.81833074631106,10.9582270547155,9.54470644092414,41.2689138198209,13.3554946582154,16.9519342869648,10.9614848746407,4.97246655789249,4.97246655789249,24.9033201480413,21640,300,0
16037,Bellon,5,0,0,0,29,28,12,10,6,0,0,1,0,78.4397163120567,58.5815602836879,51.6312056737589,6.95035460992908,0.0,0.99290780141844,0.0,2.97872340425532,5.95744680851064,3.97163120567376,19.8581560283688,4.9645390070922,10.9219858156028,3.97163120567376,4.9645390070922,4.9645390070922,9.9290780141844,20090,129,0
16038,Benest,14,3,1,0,83,35,12,21,15,0,0,5,1,159.229199744036,105.301992307285,93.4351827961653,11.86680951112,0.0,0.994153260143324,1.97179110449568,8.94849069824156,8.91490187075076,6.8451111659935,53.9272074367512,15.4324254084687,27.722059900781,10.7727221275014,9.85895552247838,9.9429275912054,14.665939480727,18760,289,0
16039,Bernac,11,4,0,0,158,70,29,17,9,0,0,9,3,278.178409042035,217.32264717607,195.536329108998,21.7863180670722,1.05658360558956,0.0,1.99982898995985,18.8103888264092,12.9885156768065,5.09309829842587,60.8557618659656,15.3511219147374,28.4822291999192,17.0224107513089,10.012734900279,0.0,59.2844144176879,21140,490,0
16040,Berneuil,10,4,0,0,73,52,26,15,18,0,0,5,1,159.394094793626,121.409413608556,110.911954486918,10.497459121638,2.71573243076923,0.0,0.0,14.4058286539766,8.97697341343977,10.7133151851044,37.9846811850705,12.2697486145353,17.3387052622711,8.37622730826403,0.0,0.0,18.8671307340046,19870,305,0
16041,Bessac,2,0,0,0,22,25,4,2,1,0,0,2,2,54.9158878504673,41.1869158878505,35.9065420560748,5.2803738317757,0.0,1.05607476635514,0.0,3.16822429906542,2.11214953271028,0.0,13.7289719626168,3.16822429906542,8.44859813084112,2.11214953271028,0.0,0.0,5.2803738317757,18430,113,0
16042,Besse,1,0,0,1,41,14,8,7,2,0,0,5,1,63.6428571428571,50.1428571428571,44.3571428571429,5.78571428571429,0.964285714285714,0.0,0.0,2.89285714285714,2.89285714285714,1.92857142857143,13.5,1.92857142857143,5.78571428571429,5.78571428571429,0.0,0.0,4.82142857142857,22470,128,0
16044,Bioussac,5,2,0,0,50,30,18,18,6,0,0,3,1,107.0,89.0,82.0,7.0,1.0,0.0,0.0,9.0,10.0,4.0,18.0,6.0,6.0,6.0,0.0,10.0,55.0,19130,208,0
16045,Birac,14,8,0,0,116,46,16,21,17,1,1,13,0,234.0,198.0,191.0,7.0,0.0,0.0,1.0,8.0,20.0,16.0,36.0,15.0,13.0,8.0,10.0,25.0,35.0,22880,370,0
16046,Coteaux-du-Blanzacais,27,16,1,2,265,124,71,38,23,0,4,30,2,581.224612803038,452.651679690676,389.972152305484,62.6795273851923,14.0923953001794,2.97148220015275,2.01603092828293,44.0697858219398,29.8025989467516,11.9981319861975,128.572933112361,32.6206669504681,41.1764447745149,54.7758213873785,24.8688914682261,24.5727266408275,79.8044259990849,20130,971,0
16047,Blanzaguet-Saint-Cybard,15,2,0,0,56,58,27,14,14,0,1,5,1,156.895529773936,125.71912649546,116.043247484928,9.6758790105322,0.0,1.0682369418493,0.0,4.51461187682491,9.65427148939186,8.93544652170012,31.1764032784758,12.6534985192468,7.65742760982627,10.8654771494027,5.89132617996492,5.3411847092465,28.3563479583877,18680,266,0
