COM,Nom Commune,NTLBIN,P20_SCOL1824,P20_SCOL2529,P20_NSCOL15P_SUP2,ETTEF5021,ETTEF1021,ETTEF021,P20_POP1564,P20_CHOM_DIPLMIN,P20_CHOM_SUP5,P20_ETUD1564,P20_RETR1564,C20_ACT1564_CS4
16057,Bouteville,0,7,1,21,0,1,1,188.342844850179,1.98931131473,0.0,11.2136855318773,11.9959726205915,40.2598480586473
16058,Boutiers-Saint-Trojan,0,23,2,135,0,1,1,828.662789069029,13.8650869393034,3.98932804379478,59.6762042179844,87.0571806188334,198.156427311367
16059,Brettes,0,2,0,15,0,0,0,97.7371929322023,1.01914996822923,0.0,7.13404977760461,12.2297996187508,20.3829993645846
16060,Breville,0,6,0,29,0,1,3,278.268625772869,4.86036656453262,0.953501964882982,18.1455219043668,37.0991610509764,38.5608930611632
16061,Brie,0,198,5,402,1,3,6,2896.91554427689,11.7208089599552,4.07376214212066,175.828391172978,257.584580494927,566.107347021985
16062,Brie-sous-Barbezieux,0,1,0,10,0,0,1,71.4954954954955,1.15315315315315,0.0,4.61261261261261,3.45945945945946,23.0630630630631
16063,Brie-sous-Chalais,0,0,0,14,0,0,2,93.0,0.0,0.0,4.0,14.0,10.0
16064,Brigueuil,1,10,1,80,1,2,3,630.126493371519,7.99177395358387,1.93289939873976,36.4661166037424,55.7937777841549,85.6231213845342
16065,Brillac,0,7,0,21,0,1,1,316.599162761138,14.4642354132882,0.0,25.6013168334124,33.0558551576051,20.1372855783584
16066,Brossac,0,2,0,33,0,0,5,231.306262661745,5.83945547674484,0.0,10.6687572134961,24.1507276854479,0.0
16067,Bunzac,0,7,1,41,0,0,0,292.671852750454,5.0355633479246,0.0,20.9024499964979,16.1150665295191,45.2477512401704
16068,Cellefrouin,0,2,2,26,0,1,0,318.334245013516,1.00822351665434,1.0104194545415,11.1058445864484,34.4137764140479,15.1564590608404
16069,Cellettes,0,5,0,21,0,0,0,245.351614283586,3.9597999045057,1.00795785712361,12.3843261809132,26.436702202183,5.03978928561807
16070,Chabanais,0,15,0,81,3,6,6,795.475345685201,18.857884088723,2.95978638204685,54.2090082621243,95.9388271349165,94.4440966192404
16071,Chabrac,0,8,1,35,0,0,1,345.018743207475,4.04772019115698,1.01188333030464,21.4177105103601,24.0722068524739,65.9334830021581
16072,Chadurie,0,14,1,42,0,1,3,339.27604395541,4.02422945981522,2.02799960248948,25.186740772398,34.4487708635639,50.4506036919392
16073,Chalais,1,16,1,64,2,11,5,880.306390196969,31.2986274481943,0.0,50.4811628272188,92.3309747575581,60.2870247765362
16074,Challignac,0,1,0,21,0,0,0,213.821009714228,2.00804463771108,1.02037084841844,9.11225918383626,20.0859247809109,45.4259381082203
16075,Champagne-Vigny,0,2,0,18,0,1,1,144.6,3.07659574468085,1.02553191489362,12.3063829787234,9.22978723404255,20.5106382978723
16076,Champagne-Mouton,0,4,0,41,1,2,4,428.0,8.0,2.0,23.0,60.0,55.0
16077,Champmillon,0,12,1,43,0,0,3,327.113242883411,2.57033797734166,0.847119403785716,20.029836507943,32.1488036631498,53.7915894839393
16078,Champniers,0,102,7,503,10,50,16,3165.80929629084,22.7154570684522,15.7852819255104,237.486631481612,338.716010178912,691.84656855924
16079,Chantillac,0,7,2,23,0,2,0,201.31693013073,1.99626126928856,0.0,11.7307870291148,9.09779649159075,37.9518638632129
16081,La Chapelle,0,1,0,22,0,0,2,114.544298477315,4.01433404365435,1.00486443764157,6.0291866258494,14.0681021269819,10.0486443764157
16082,Boisne-La Tude,0,10,0,53,0,1,2,418.191652318813,4.96103136389986,0.895462874601968,24.2286262244272,48.7599484149497,72.3339739447863
16083,Charme,0,5,0,24,0,0,0,180.686830303607,1.98103916873778,0.990474463208136,6.86799124630871,22.0189713013788,29.8096798284254
16084,Charras,0,4,0,34,0,0,2,205.867100156777,0.0,0.0,10.6058114407894,23.1754304645714,34.0606526452685
