COM,Nom Commune,N TL,P20_SCOL1517,P20_SCOL1824,ETTEF2021,P20_SCOL2529,P20_NSCOL15P_CAPBEP,P20_NSCOL15P_BAC,P20_NSCOL15P_SUP2,P20_NSCOL15P_SUP34,P20_NSCOL15P_SUP5,ETTEF5021,ETTEF1021,ETTEF121,ETTEF021,P20_POP1564,P20_ACT1564,P20_ACTOCC1564,P20_CHOMEUR1564,P20_CHOM_DIPLMIN,P20_CHOM_SUP34,P20_CHOM_SUP5,P20_ACT_DIPLMIN,P20_ACT_SUP34,P20_ACT_SUP5,P20_INACT1564,P20_ETUD1564,P20_RETR1564,P20_AINACT1564,C20_ACT1564_CS2,C20_ACT1564_CS3,C20_ACT1564_CS4,MED20,NBPERSMENFISC20
16001,Abzac,0,0.055878904102250895,0.003492431506390681,0.003492431506390681,0.0,0.46449339034996057,0.2025610273706595,0.11175780820450179,0.09429565067254839,0.027939452051125448,0.0,0.0,0.03841674657029749,0.0,1.0,0.6485896446505853,0.5495613312016993,0.09902831344888735,0.017858685988033494,0.0,0.0,0.07062269880750745,0.04226844191078841,0.024662587129217785,0.3514103553494148,0.05681241252627523,0.16117950674615822,0.1334184360769813,0.08776106243248516,0.0,0.08811807489688137,17790,414
16002,Les Adjots,0,0.07828796911499349,0.00939455629379922,0.0,0.0,0.43528110827936384,0.20981175722818254,0.12212923181938985,0.07515645035039376,0.050104300233595835,0.0,0.0031315187645997397,0.025052150116797917,0.0,1.0,0.7445017006610615,0.6615041960823865,0.08299750457867691,0.006120794782105265,0.0,0.006120794782105265,0.06467439712112892,0.058417404162411514,0.04921796437005061,0.2554982993389368,0.0835589970860939,0.04586777054367124,0.1260715317091717,0.10721118662291179,0.03089280291286226,0.13868285776667716,18440,518
16003,Agris,0,0.06326129738548657,0.02604876951167094,0.0,0.0018606263936907814,0.4223621913678074,0.23443892560503846,0.1097769572277561,0.055818791810723446,0.03349127508643407,0.0,0.007442505574763125,0.03907315426750641,0.005581879181072344,1.0,0.7855870859101965,0.6810778588680598,0.10450922704213629,0.02626632325390608,0.0,0.0017542755587891844,0.08987627635199684,0.03917837978836992,0.024548722791218936,0.2144129140898035,0.06749608264422696,0.0895473467515983,0.05736948469397881,0.08438124072429143,0.03807875970894659,0.1495957928986885,19930,834
16005,Aigre,0,0.04506754458274215,0.016274391099323552,0.00876313366886653,0.0,0.5358030300392678,0.28918341107259543,0.11642449017208388,0.07386069806616075,0.040060039629104136,0.0012518762384095042,0.010015009907276034,0.046319420821151654,0.0075112574304570245,1.0,0.7287512950945282,0.6153378224419246,0.11341347265260358,0.030409537179575355,0.006284986202636364,0.0,0.10124972491933687,0.042787972467178706,0.023935910282598078,0.27124870490547176,0.04964683174549404,0.11685936921618431,0.10474250394379292,0.03200084852770274,0.050132074227095876,0.13977424988338863,19770,1369
16007,Alloue,0,0.0535337721158879,0.007647681730841128,0.0,0.0,0.45121322211962656,0.2753165423102806,0.13001058942429916,0.05735761298130846,0.06882913557757014,0.0,0.003823840865420564,0.03441456778878507,0.011471522596261692,1.0,0.7484026146108365,0.6550353950370513,0.09336721957378627,0.011690404137387436,0.003943071010928744,0.0,0.06213937323049922,0.03509141324615114,0.04256422070092738,0.2515973853891644,0.05446994717869373,0.11211750039255776,0.0850099378179133,0.07728131195301105,0.019418336461100964,0.09689665720837845,18680,452
16008,Amberac,0,0.038877891649661725,0.011107969042760494,0.0,0.005553984521380247,0.44431876171041973,0.2388213344193506,0.1555115665986469,0.049985860692422224,0.038877891649661725,0.0,0.0,0.044431876171041974,0.005553984521380247,1.0,0.806285076831089,0.6981663436164068,0.10811873321468281,0.025811735469651587,0.0,0.0,0.08787889312093354,0.049258959840266965,0.03176398289592835,0.19371492316890762,0.031958107884245475,0.08002465572307606,0.08173215956158639,0.05956984391435759,0.08247969844192383,0.05176577546083683,19990,312
16009,Ambernac,0,0.054820276944514454,0.03373555504277813,0.0,0.004216944380347266,0.476514714979241,0.21928110777805782,0.054820276944514454,0.07590499884625078,0.06325416570520899,0.0,0.0,0.03795249942312539,0.0,1.0,0.6926134664339523,0.6207902675829464,0.07182319885100535,0.02111842962271712,0.0,0.004281034361258147,0.11378183000899676,0.029586875097020075,0.029681033836682417,0.30738653356604784,0.07074323224243466,0.13988669614180718,0.09675660518180602,0.04233154748754384,0.021405171806290653,0.14817642105985449,18570,356
16011,Anais,0,0.0443271468883469,0.030474913485738494,0.008311340041565043,0.0027704466805216813,0.3961738753146004,0.2659628813300814,0.12744054730399734,0.0886542937766938,0.06372027365199867,0.0027704466805216813,0.02493402012469513,0.07757250705460707,0.0027704466805216813,1.0,0.7916307765639321,0.7281240515370928,0.0635067250268415,0.010997165317963258,0.0027819148539104804,0.0,0.04913392444882466,0.07436919388217085,0.054766640986332604,0.20836922343606756,0.06554397033721511,0.0752485265934091,0.06757672650544339,0.054154079300183226,0.06845569545394871,0.164301257157451,22820,590
16012,Angeac-Champagne,0,0.05429628361715504,0.019163394217819426,0.003193899036303238,0.0,0.389655682428995,0.24273632675904608,0.12136816337952304,0.04790848554454857,0.02874509132672914,0.003193899036303238,0.009581697108909713,0.06068408168976152,0.003193899036303238,1.0,0.7868398681850848,0.7100072667612479,0.07683260142383758,0.006237440086721073,0.0,0.0028435811293774766,0.08243034051182824,0.040401367626464436,0.03104757212607442,0.21316013181491508,0.060109780412281516,0.10879394496550283,0.04425640643713104,0.04745980328870808,0.06164667916708261,0.03264416116060121,23480,513
16013,Angeac-Charente,0,0.0464802020310373,0.02324010101551865,0.005810025253879663,0.0,0.49385214657977133,0.2672611616784645,0.08134035355431528,0.12201053033147291,0.05810025253879662,0.0,0.0,0.05810025253879662,0.0,1.0,0.8063290683137458,0.7288260015297461,0.07750306678400036,0.01714885044187775,0.009417146903788181,0.004922027294723048,0.058039285989518456,0.08190496777326789,0.02262600293908775,0.19367093168624955,0.05066317204215105,0.08322762071049133,0.05978013893360751,0.05645402102327949,0.022475598045325666,0.13095217683677723,23020,320
