COM,Nom Commune,N TL,P20_SCOL1517,P20_SCOL1824,ETTEF2021,P20_SCOL2529,P20_NSCOL15P_CAPBEP,P20_NSCOL15P_BAC,P20_NSCOL15P_SUP2,P20_NSCOL15P_SUP34,P20_NSCOL15P_SUP5,ETTEF5021,ETTEF1021,ETTEF121,ETTEF021,P20_ACT1564,P20_ACTOCC1564,P20_CHOMEUR1564,P20_CHOM_DIPLMIN,P20_CHOM_SUP34,P20_CHOM_SUP5,P20_ACT_DIPLMIN,P20_ACT_SUP34,P20_ACT_SUP5,P20_INACT1564,P20_ETUD1564,P20_RETR1564,P20_AINACT1564,C20_ACT1564_CS2,C20_ACT1564_CS3,C20_ACT1564_CS4,MED20,NBPERSMENFISC20,P20_POP1564
16001,Abzac,0,0.0558789041022508,0.0034924315063906,0.0034924315063906,0.0,0.4644933903499605,0.2025610273706595,0.1117578082045017,0.0942956506725483,0.0279394520511254,0.0,0.0,0.0384167465702974,0.0,0.6485896446505853,0.5495613312016993,0.0990283134488873,0.0178586859880334,0.0,0.0,0.0706226988075074,0.0422684419107884,0.0246625871292177,0.3514103553494148,0.0568124125262752,0.1611795067461582,0.1334184360769813,0.0877610624324851,0.0,0.0881180748968813,17790,414,286.333460848161
16002,Les Adjots,0,0.0782879691149934,0.0093945562937992,0.0,0.0,0.4352811082793638,0.2098117572281825,0.1221292318193898,0.0751564503503937,0.0501043002335958,0.0,0.0031315187645997,0.0250521501167979,0.0,0.7445017006610615,0.6615041960823865,0.0829975045786769,0.0061207947821052,0.0,0.0061207947821052,0.0646743971211289,0.0584174041624115,0.0492179643700506,0.2554982993389368,0.0835589970860939,0.0458677705436712,0.1260715317091717,0.1072111866229117,0.0308928029128622,0.1386828577666771,18440,518,319.333868059327
16003,Agris,0,0.0632612973854865,0.0260487695116709,0.0,0.0018606263936907,0.4223621913678074,0.2344389256050384,0.1097769572277561,0.0558187918107234,0.033491275086434,0.0,0.0074425055747631,0.0390731542675064,0.0055818791810723,0.7855870859101965,0.6810778588680598,0.1045092270421362,0.026266323253906,0.0,0.0017542755587891,0.0898762763519968,0.0391783797883699,0.0245487227912189,0.2144129140898035,0.0674960826442269,0.0895473467515983,0.0573694846939788,0.0843812407242914,0.0380787597089465,0.1495957928986885,19930,834,537.453409986503
16005,Aigre,0,0.0450675445827421,0.0162743910993235,0.0087631336688665,0.0,0.5358030300392678,0.2891834110725954,0.1164244901720838,0.0738606980661607,0.0400600396291041,0.0012518762384095,0.010015009907276,0.0463194208211516,0.007511257430457,0.7287512950945282,0.6153378224419246,0.1134134726526035,0.0304095371795753,0.0062849862026363,0.0,0.1012497249193368,0.0427879724671787,0.023935910282598,0.2712487049054717,0.049646831745494,0.1168593692161843,0.1047425039437929,0.0320008485277027,0.0501320742270958,0.1397742498833886,19770,1369,798.80100709515
16007,Alloue,0,0.0535337721158879,0.0076476817308411,0.0,0.0,0.4512132221196265,0.2753165423102806,0.1300105894242991,0.0573576129813084,0.0688291355775701,0.0,0.0038238408654205,0.034414567788785,0.0114715225962616,0.7484026146108365,0.6550353950370513,0.0933672195737862,0.0116904041373874,0.0039430710109287,0.0,0.0621393732304992,0.0350914132461511,0.0425642207009273,0.2515973853891644,0.0544699471786937,0.1121175003925577,0.0850099378179133,0.077281311953011,0.0194183364611009,0.0968966572083784,18680,452,261.517159106467
16008,Amberac,0,0.0388778916496617,0.0111079690427604,0.0,0.0055539845213802,0.4443187617104197,0.2388213344193506,0.1555115665986469,0.0499858606924222,0.0388778916496617,0.0,0.0,0.0444318761710419,0.0055539845213802,0.806285076831089,0.6981663436164068,0.1081187332146828,0.0258117354696515,0.0,0.0,0.0878788931209335,0.0492589598402669,0.0317639828959283,0.1937149231689076,0.0319581078842454,0.080024655723076,0.0817321595615863,0.0595698439143575,0.0824796984419238,0.0517657754608368,19990,312,180.050915905593
16009,Ambernac,0,0.0548202769445144,0.0337355550427781,0.0,0.0042169443803472,0.476514714979241,0.2192811077780578,0.0548202769445144,0.0759049988462507,0.0632541657052089,0.0,0.0,0.0379524994231253,0.0,0.6926134664339523,0.6207902675829464,0.0718231988510053,0.0211184296227171,0.0,0.0042810343612581,0.1137818300089967,0.02958687509702,0.0296810338366824,0.3073865335660478,0.0707432322424346,0.1398866961418071,0.096756605181806,0.0423315474875438,0.0214051718062906,0.1481764210598544,18570,356,237.138532028172
16011,Anais,0,0.0443271468883469,0.0304749134857384,0.008311340041565,0.0027704466805216,0.3961738753146004,0.2659628813300814,0.1274405473039973,0.0886542937766938,0.0637202736519986,0.0027704466805216,0.0249340201246951,0.077572507054607,0.0027704466805216,0.7916307765639321,0.7281240515370928,0.0635067250268415,0.0109971653179632,0.0027819148539104,0.0,0.0491339244488246,0.0743691938821708,0.0547666409863326,0.2083692234360675,0.0655439703372151,0.0752485265934091,0.0675767265054433,0.0541540793001832,0.0684556954539487,0.164301257157451,22820,590,360.952624365865
16012,Angeac-Champagne,0,0.054296283617155,0.0191633942178194,0.0031938990363032,0.0,0.389655682428995,0.242736326759046,0.121368163379523,0.0479084855445485,0.0287450913267291,0.0031938990363032,0.0095816971089097,0.0606840816897615,0.0031938990363032,0.7868398681850848,0.7100072667612479,0.0768326014238375,0.006237440086721,0.0,0.0028435811293774,0.0824303405118282,0.0404013676264644,0.0310475721260744,0.213160131814915,0.0601097804122815,0.1087939449655028,0.044256406437131,0.047459803288708,0.0616466791670826,0.0326441611606012,23480,513,313.096935323743
16013,Angeac-Charente,0,0.0464802020310373,0.0232401010155186,0.0058100252538796,0.0,0.4938521465797713,0.2672611616784645,0.0813403535543152,0.1220105303314729,0.0581002525387966,0.0,0.0,0.0581002525387966,0.0,0.8063290683137458,0.7288260015297461,0.0775030667840003,0.0171488504418777,0.0094171469037881,0.004922027294723,0.0580392859895184,0.0819049677732678,0.0226260029390877,0.1936709316862495,0.050663172042151,0.0832276207104913,0.0597801389336075,0.0564540210232794,0.0224755980453256,0.1309521768367772,23020,320,172.116291462287
